epoch,acc,loss
0,0.649375,1.2963145551
1,0.695625,1.0800995914
2,0.6725,1.0710342398
3,0.638125,1.0647440124
4,0.738125,1.0623035474
5,0.671875,1.051280117
6,0.69,1.0478675515
7,0.731875,1.0475107136
8,0.768125,1.0247596245
9,0.695,1.025885389
10,0.670625,1.050810825
11,0.666875,0.9912879387
12,0.689375,0.9831636021
13,0.67125,0.9911383922
14,0.69,0.9704057234
15,0.71,0.9251047094
16,0.66875,0.9271972318
17,0.69625,0.8863854654
18,0.6575,0.8984539646
19,0.703125,0.9138533302
20,0.709375,0.8649899139
21,0.725,0.8319145244
22,0.708125,0.8761551046
23,0.68375,0.8555255722
24,0.721875,0.7989076025
25,0.7375,0.8414507517
26,0.753125,0.7715032421
27,0.755625,0.7621752469
28,0.768125,0.7288856877
29,0.76625,0.715614137
30,0.76125,0.742844874
31,0.76875,0.7115209364
32,0.794375,0.6471715308
33,0.786875,0.6821828111
34,0.795,0.6322416457
35,0.81875,0.5896040734
36,0.79875,0.6215629189
37,0.81375,0.5886304324
38,0.813125,0.5979459621
39,0.804375,0.6229984554
40,0.79625,0.64598861
41,0.799375,0.6277331491
42,0.799375,0.6238558082
43,0.805625,0.5808899632
44,0.83125,0.5394249921
45,0.828125,0.5302087392
46,0.82875,0.5721175232
47,0.804375,0.6103559148
48,0.83375,0.5117362997
49,0.860625,0.4783575746
